"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
1675763857,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.580556,50.08045,NA,2014,"11",26,"Germany","221344",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,97,"Flavoparmelia caperata"
1675763983,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.957317,47.668283,NA,2014,"11",15,"Germany","264212",NA,"FR","Regierungsbezirk Oberbayern, Landkreis Weilheim-Schongau, Gemeinde Wildsteig, Wildmoos bei Peustelsau (Probenfläche 894)","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,70,"Flavoparmelia caperata"
1233561856,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.551067,45.911667,NA,2013,"8",28,"Croatia","37513",NA,"FR","bei Stari Glog","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,104,"Flavoparmelia caperata"
1675763662,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.2725,50.141111,NA,2012,"3",26,"Germany","218404-P3582",NA,"FR","Wiesbaden, Naurod. Taunus, nordwestlich Kellerskopf im Trockenborn.","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,78,"Flavoparmelia caperata"
1212104740,"85739778-f762-11e1-a439-00145eb45e9a",13.425,52.4733,NA,2012,"4",10,"Germany","178258","K. Rux","B","GERMANY, Berlin: Neukölln, Okerstrasse, Strassenbahn.","Lichen Herbarium Berlin","GBIF",NA,91,"Flavoparmelia caperata"
1212104963,"85739778-f762-11e1-a439-00145eb45e9a",13.1817,52.3867,NA,2012,"4",13,"Germany","178254","H. Sipman & K. Rux","B","GERMANY, Brandenburg: Stahnsdorf, Südwest-Kirchhof, S-side. Alt. 50 m.","Lichen Herbarium Berlin","GBIF",NA,91,"Flavoparmelia caperata"
911958223,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.49945,51.921667,NA,2011,"3",27,"Germany","29433",NA,"FR","zwischen Tauer & Bärenklau, unweit von Krolls Lauch","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,90,"Flavoparmelia caperata"
911958250,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.78,52.720833,NA,2011,"4",23,"Poland","35663",NA,"FR","Podlasien, Erlenbruch südlich von Teremiski","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,70,"Flavoparmelia caperata"
1675763773,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.801111,45.738333,NA,2011,"6",24,"Italy","67288",NA,"FR","Prov. Verona, Prealpina Gardesana, Monte Baldo, The Cima Valdritta, westslope, west of Malga Fiabio","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,84,"Flavoparmelia caperata"
1675763802,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.804722,45.746944,NA,2011,"6",24,"Italy","67848",NA,"FR","Prov. Verona, Lago di Garda, Malcesine, Loc. Caris","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,84,"Flavoparmelia caperata"
