"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
152925697,"89579e3e-f762-11e1-a439-00145eb45e9a",14.245309,46.099672,NA,1986,"10",15,"Slovenia","F775837","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
1099934166,"858c1c6c-f762-11e1-a439-00145eb45e9a",8.271944,49.997776,NA,1985,"10",9,"Germany","M-0044779 / 140532 / 87727","John, V. (no. 5967)","SNSB-M","Bundesrepublik Deutschland  Rheinland-Pfalz TK 25: 6610/211 Neuwoog-Damm im U.S. Depot Miesau, 235 m  Quercus robur","BSMlichfungicoll","GBIF",NA
1099934169,"858c1c6c-f762-11e1-a439-00145eb45e9a",12.990833,47.59639,NA,1984,"4",5,"Germany","M-0044759 / 3125 / 1981","Wunder, H. (no. 2235)","SNSB-M","Deutschland, Bayern: Landkreis Berchtesgadener Land Uferpromenade von St. Bartholomä am Königssee MTB 8443 (rechts) 7320 (hoch) 6810 ca. 605 m NN","BSMlichfungicoll","GBIF",NA
2449356212,"85739778-f762-11e1-a439-00145eb45e9a",6.5667,47.8333,NA,1983,"9",7,"France","115024","Frahm, Hakelier, Huerlimann","B","FRANKREICH, Dep. Haute Saône: Faucogney, Mauern und Baumstämme im Ortskern ca. 400 mü. NN.  und Porphyrfelsklippen östlich des Ortes ca. 450 m ü.NN.","Lichen Herbarium Berlin","GBIF",NA
2270741426,"98bceab6-3c3e-4163-945d-6ca10576ebf1",8.6,46.316667,"Tessin",1978,"7",18,"Switzerland","528948","T.H. Nash III","ASU","Maggia Valley between Cevio Vecchio and Ospedelo",NA,"GBIF",NA
2270742792,"98bceab6-3c3e-4163-945d-6ca10576ebf1",8.733333,46.233333,"Tessin",1978,"7",18,"Switzerland","528765","T.H. Nash III","ASU","Maggia Valley just NW of Gorderio, along roadside",NA,"GBIF",NA
2449365682,"85739778-f762-11e1-a439-00145eb45e9a",12.5083,46.9967,NA,1977,"3",22,"Austria","183140","A. Buschardt","B","AUSTRIA, Osttirol: Virgental, S-facing slopes about 1,5 km W of Matrei. Alt. ca. 1000 m.","Lichen Herbarium Berlin","GBIF",NA
2449356669,"85739778-f762-11e1-a439-00145eb45e9a",10.52,46.6967,NA,1976,"7",3,"Italy","181706","A. Buschardt","B","ITALY, Trentino/Südtirol: Vinschgau (Val Venostana), dry slopes above Schleis. Alt. 1100-1200 m.","Lichen Herbarium Berlin","GBIF",NA
2449367671,"85739778-f762-11e1-a439-00145eb45e9a",12.425,47.0083,NA,1975,"5",17,"Austria","182504","A. Buschardt","B","AUSTRIA, Osttirol: Virgental, S-facing rocky slopes about 1,5 km W of Obermauer near Virgen. Alt. ca. 1350 m.","Lichen Herbarium Berlin","GBIF",NA
2449353670,"85739778-f762-11e1-a439-00145eb45e9a",10.2667,46.2833,NA,1975,"7",1,"Italy","181527","A. Buschardt","B","ITALY, Sondrio: Valtellina (Veltlin), dry rocky slopes at Cast. Visconti between Grosotto and Grosio. Alt. ca. 650 m.","Lichen Herbarium Berlin","GBIF",NA
