"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
442148597,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.779444,47.791389,NA,1910,"5",15,"Germany","B 60 0000341a / 152862 / 92766","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 2) Köhlgarten","GBIF",NA,68,"Usnea florida"
442148672,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.8725,47.714722,NA,1910,"7",17,"Germany","B 60 0128250 / 152886 / 92778","Lettau, G.","B","Blettaucoll","Schwarzwald: Zell im Wiesental - Hohe Möhr, 700 m.","GBIF",NA,76,"Usnea florida"
1273866914,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.783333,47.609444,"Steiermark",1904,NA,NA,"Austria","1884812","[missing]","LD","General","Bad Aussee","GBIF",NA,63,"Usnea florida"
1099107192,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.804995,47.940544,NA,1903,"6",26,"Germany","M-0196565 / 581231 / 253081","Weber, H.","SNSB-M","BSMlichenscoll","Flora von Bayern, Kirchstein.","GBIF",NA,85,"Usnea florida"
1099107193,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.588945,48.016384,NA,1900,"6",NA,"Germany","M-0196590 / 581239 / 253089","Arnold, F.","SNSB-M","BSMlichenscoll","Fichtenzweig westlich von Deisenhofen. München.","GBIF",NA,79,"Usnea florida"
1099107182,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.362352,47.999847,NA,1897,"8",NA,"Germany","M-0196587 / 581238 / 253088","Arnold, F.","SNSB-M","BSMlichenscoll","Bretterzaun in Percha bei Starnberg. München.","GBIF",NA,80,"Usnea florida"
1099104859,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.184254,48.894814,NA,1897,NA,NA,"Germany","M-0103159 / 538097 / 221200","Arnold, F.","SNSB-M","BSMlichenscoll","Eisenpfosten des Parkzauns bei Eichstätt.","GBIF",NA,80,"Usnea florida"
1099104856,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.403894,48.058395,NA,1893,"5",7,"Germany","M-0103163 / 538101 / 221204","Arnold, F.","SNSB-M","BSMlichenscoll","Im Buchendorfer Gemeindewalde München.","GBIF",NA,79,"Usnea florida"
1099107180,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.458483,47.990887,NA,1892,"4",16,"Germany","M-0196566 / 581232 / 253082","Schnabl, J.N.","SNSB-M","BSMlichenscoll","Schäftlarn.","GBIF",NA,78,"Usnea florida"
1099104852,"7ba21c92-f762-11e1-a439-00145eb45e9a",13.035416,49.056068,NA,1891,NA,NA,"Germany","M-0103172 / 538109 / 221212","Lederer, M.","SNSB-M","BSMlichenscoll","Böbrach.","GBIF",NA,69,"Usnea florida"
919003028,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.254717,50.89445,NA,1890,NA,NA,"Germany","19068",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Großer Winterberg","GBIF",NA,72,"Usnea florida"
1273866813,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.65552,47.41817,"Zürich",1889,"4",4,"Switzerland","1884748","K. Forster","LD","General","No locality information available","GBIF",NA,89,"Usnea florida"
