"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
788543565,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.465556,46.538611,"Trentino-Alto Adige",1948,"5",NA,"Italy","1300687","H. Runemark","LD","Klobenstein","General","GBIF",NA,91,"Flavoparmelia caperata"
788543744,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.360833,46.422778,"Veneto",1948,"5",NA,"Italy","1300867","H. Runemark","LD","Pieve di Cadore","General","GBIF",NA,62,"Flavoparmelia caperata"
788558437,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.741111,48.402778,"Bayern",1948,"8",NA,"Germany","1315669","Johannes Ullrich","LD","Freising","General","GBIF",NA,79,"Flavoparmelia caperata"
NA,NA,8.769435,50.565768,NA,1948,"28. Nov.",NA,"GERMANY","22807","O. Behr","BERLIN_DB","DEUTSCHLAND, HESSEN. Krs. Erbach-Odenwald. Steinbach, Waldrand. Alt. 300 m.",NA,"BERLIN_DB","B 60 0029614",88,"Flavoparmelia caperata"
788558497,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.340556,48.791667,"Baden-Württemberg",1947,"4",4,"Germany","1315729","E. Putzler","LD","Stetten im Remstal","General","GBIF",NA,94,"Flavoparmelia caperata"
911958123,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.437217,48.181383,NA,1944,"3",3,"France","19303",NA,"FR","Vogesen, Epinal, an der Kaserne über dem Bahnhof","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,91,"Flavoparmelia caperata"
2237905713,"84d26682-f762-11e1-a439-00145eb45e9a",11.63333,54.83333,NA,1942,"8",4,"Denmark","DMS-1038270","Paul Gelting",NA,"Oreby",NA,"GBIF",NA,82,"Flavoparmelia caperata"
442142884,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.203333,47.86972,NA,1942,"8",27,"Germany","B 60 0029621 / 145822 / 90094","Lettau, G.","B","Schwarzwald: 1) Oberhalb Lenzkirch, 850 m.","Blettaucoll","GBIF",NA,63,"Flavoparmelia caperata"
442143287,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.367778,48.078335,NA,1941,"9",5,"Germany","B 60 0029635 / 145826 / 90096","Lettau, G.","B","Baden, Schwarzwald: 2) Unterkirnach bei Villingen, 900 m.","Blettaucoll","GBIF",NA,68,"Flavoparmelia caperata"
776852,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.4975,54.860278,"Jylland",1939,"8",17,"Denmark","1022274","Ove Almborn","LD","Sønderhav","General","GBIF",NA,80,"Flavoparmelia caperata"
152925677,"89579e3e-f762-11e1-a439-00145eb45e9a",14.578589,46.199674,NA,1937,"4",15,"Slovenia","F774600","Dolšak F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,96,"Flavoparmelia caperata"
911958051,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.85,49.8075,NA,1937,"7",10,"Germany","3939",NA,"FR","Bad Kreuznach, Rheingrafenstein bei Münster am Stein","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,89,"Flavoparmelia caperata"
911958057,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.697633,49.9,NA,1937,"7",8,"Germany","3932",NA,"FR","Darmstadt, am Jagdschloß Kranichstein","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,96,"Flavoparmelia caperata"
911958059,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.602783,47.601667,NA,1937,"9",24,"Germany","3948",NA,"FR","Kressbronn am Bodensee","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,89,"Flavoparmelia caperata"
911958039,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.94445,51.254167,NA,1936,"2",26,"Germany","3946",NA,"FR","Oberlausitz, Königsbrück, im Tiefen Grund nahe Reichenau","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,86,"Flavoparmelia caperata"
911958058,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.13945,51.292217,NA,1936,"3",27,"Germany","3945",NA,"FR","Kamenz, am N-Ufer des Deutschbaselitzer Teiches","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,88,"Flavoparmelia caperata"
911958074,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.185283,47.701667,NA,1936,"6",13,"Germany","3935",NA,"FR","Konstanz, am Wege nach der Insel Mainau, am Strand","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,95,"Flavoparmelia caperata"
2449357336,"85739778-f762-11e1-a439-00145eb45e9a",12.2333,54.2,NA,1936,"7",5,"Germany","118985","V. J. Grummann","B","DEUTSCHLAND, Mecklenburg-Vorpommern: Rostocker Heide, bei Müritz.","Lichen Herbarium Berlin","GBIF",NA,84,"Flavoparmelia caperata"
911958078,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.106117,48.893333,NA,1936,"7",6,"Germany","3931",NA,"FR","Fränkischer Jura, Altmühltal, Obereichstätt, 2 km westlich","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,79,"Flavoparmelia caperata"
911958073,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.86445,50.932217,NA,1935,"4",6,"Germany","3950",NA,"FR","Elbhügelland, Weesenstein, am Rabenhorst","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,81,"Flavoparmelia caperata"
911958083,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.75,51.25195,NA,1933,"3",31,"Germany","3937",NA,"FR","Lausitzer Niederung, Zschorna, am N-Ufer des Brettmühlenteiches","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,89,"Flavoparmelia caperata"
911958084,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.218333,50.597217,NA,1931,"5",25,"Germany","3949",NA,"FR","Schwarzburg, im Sorbitzgrund oberhalb Rohrbach","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,70,"Flavoparmelia caperata"
911958052,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.087217,50.834717,NA,1931,"6",8,"Germany","3942",NA,"FR","Dorndorf","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,80,"Flavoparmelia caperata"
